id,tur,metin,anlam_ekseni,iskelet,mekanizma,kutup,yon,yasanmislik,celisen,ayirt_edici_soru,modern_deyim
A028,atasözü,Atı alan Üsküdar'ı geçti,"Geç kalmışlığı adlandırır, geri donulmezlik",Müdahale penceresi kapandıktan sonra hazırlık anlamsızdır.,geri-donulmezlik,IS ZIHIN,0,0.8,,,
A029,atasözü,Son pişmanlık fayda etmez,"Uyarır, geri donulmezlik",Bazı kararlar geri alınamaz; bilgi ancak geri dönüşsüzlükten sonra gelir.,geri-donulmezlik,ANLAM ZIHIN,0,0.85,,,
A030,atasözü,Zararın neresinden dönülse kârdır,"Vazgeçmeyi meşrulaştırır, geri donulmezlik","Batmış maliyet, devam kararının gerekçesi olamaz.",geri-donulmezlik,ZIHIN PARA,-0.6,0.8,,,
A031,atasözü,"Bir elin nesi var, iki elin sesi var","Birleşmeye çağırır, birlesim","Birleşen çabanın çıktısı, parçaların toplamından fazladır.",birlesim,ILISKI IS,0.9,0.2,Horoz çok olan yerde sabah geç olur,"İş mi yetişmiyor, karar mı çıkmıyor?",
A032,atasözü,"Nerede birlik, orada dirlik","Birleşmeye çağırır, birlesim","Uyumlu bütünlük, refahın ön koşuludur.",birlesim,ILISKI,0.8,0.2,Horoz çok olan yerde sabah geç olur,"Herkes aynı sonucu mu istiyor, yoksa aynı sonucu farklı mı tanımlıyor?",
A033,atasözü,Akıl akıldan üstündür,"Danışmaya çağırır, birlesim",Bakış açısı eklendikçe çözüm uzayı genişler.,birlesim,ZIHIN ILISKI,0.7,0.3,Horoz çok olan yerde sabah geç olur,"Bu kişilerden fikir mi alıyorsun, onay mı bekliyorsun?",
A034,atasözü,Horoz çok olan yerde sabah geç olur,"Kalabalığı azaltmaya çağırır, karar tikanmasi","Karar hakkı çoğaldıkça, kararın kendisi gecikir.",karar-tikanmasi,IS ILISKI,-0.6,0.6,"Bir elin nesi var, iki elin sesi var | Nerede birlik, orada dirlik | Akıl akıldan üstündür | Bin bilsen de bir bilene danış","İş mi yetişmiyor, karar mı çıkmıyor? | Herkes aynı sonucu mu istiyor, yoksa aynı sonucu farklı mı tanımlıyor? | Bu kişilerden fikir mi alıyorsun, onay mı bekliyorsun? | Kaç kişinin evet demesi gerekiyor?",
A035,atasözü,"Sen ağa ben ağa, bu ineği kim sağa","Sahiplik boşluğunu adlandırır, sahiplik boslugu","Herkes üst rolü üstlendiğinde, işi yapacak kimse kalmaz.",sahiplik-boslugu,IS ILISKI,-0.4,0.6,,,
A036,atasözü,Bin bilsen de bir bilene danış,"Danışmaya çağırır, kor nokta","Kendi bilgisi ne kadar çok olursa olsun, özne kendi kör noktasını göremez.",kor-nokta,ZIHIN ILISKI,0.7,0.6,Horoz çok olan yerde sabah geç olur,Kaç kişinin evet demesi gerekiyor?,
A037,atasözü,"Danışan dağı aşmış, danışmayan düz yolda şaşmış","Danışmaya çağırır, kor nokta","Dışarıdan gelen bakış, zorluğun büyüklüğünden bağımsız olarak yol açar.",kor-nokta,ZIHIN ILISKI,0.8,0.4,,,
A038,atasözü,Terzi kendi söküğünü dikemez,"Kendine zaman ayıramamayı adlandırır, kaynak siniri","Kapasite hep dışarı yönlendirildiğinde, kendine ayrılan sıra hiç gelmez.",kaynak-siniri,IS BEDEN,0,0.8,,,
A039,atasözü,Kuzguna yavrusu şahin görünür,"Yanlılığı açığa çıkarır, kor nokta","Yakınlık, değerlendirmeyi sistematik olarak yukarı kaydırır.",kor-nokta,ILISKI DUYGU,0,0.6,,,
A040,atasözü,Aç tavuk kendini buğday ambarında sanır,"Hayali uyarır, kor nokta","Yoksunluk, algıyı arzu yönünde çarpıtır.",kor-nokta,DUYGU ZIHIN,0,0.8,,,
A041,atasözü,Balık baştan kokar,"Sorumluluğu yukarı taşır, yayilma",Bozulma yapının tepesinden başlar ve aşağı doğru yayılır.,yayilma,IS ILISKI,-0.4,0.5,,,
A042,atasözü,Baş nereye giderse ayak da oraya gider,"Yönü yukarıda arar, yayilma","Alt birimlerin yönü, üst birimin yönü tarafından belirlenir.",yayilma,IS ILISKI,0,0.5,,,
A043,atasözü,Bir baş soğan bir kazanı kokutur,"Ayıklamaya çağırır, yayilma","Tek bozuk unsur, bütünün niteliğini belirleyecek kadar baskın olabilir.",yayilma,ILISKI,-0.5,0.5,,,
A044,atasözü,Üzüm üzüme baka baka kararır,"Çevreyi uyarır, yayilma","Yakınlık, benzeşmeyi zamanla ve farkına varılmadan üretir.",yayilma,ILISKI,-0.4,0.6,,,
A045,atasözü,Kır atın yanında duran ya huyundan ya suyundan kapar,"Yakınlığı uyarır, yayilma","Temas, seçilmemiş özellikleri de aktarır.",yayilma,ILISKI MEKAN,-0.3,0.6,,,
A046,atasözü,Sürüden ayrılanı kurt kapar,"Kalmaya çağırır, bagimlilik","Grubun koruması, ancak grup içinde kalındığı sürece geçerlidir.",bagimlilik,ILISKI,-0.7,0.7,,,
A047,atasözü,Yuvarlanan taş yosun tutmaz,"Yerleşmeye çağırır, birikim","Sürekli yer değiştiren, birikim ve bağ oluşturamaz.",birikim,MEKAN ILISKI,-0.3,0.6,,,
A048,atasözü,Taşıma su ile değirmen dönmez,"Geçici çözümü teşhis eder, bagimlilik","Dışarıdan elle beslenen sistem, kendi kaynağı olmadan sürdürülemez.",bagimlilik,IS,-0.5,0.4,,,
A049,atasözü,Komşu komşunun külüne muhtaçtır,"Bağı hatırlatır, bagimlilik","Hiçbir birim, yakınındakinden tamamen bağımsız değildir.",bagimlilik,ILISKI MEKAN,0.7,0.5,,,
A050,atasözü,"Bakarsan bağ olur, bakmazsan dağ olur","Bakıma çağırır, bagimlilik",Sürekli bakım kesilirse yapı kendiliğinden bozulmaya döner.,bagimlilik,IS MEKAN,0.7,0.4,,,
A051,atasözü,Ev alma komşu al,"Önceliği tersine çevirir, bagimlilik","Çevresel bağlam, sahip olunan nesneden daha belirleyicidir.",bagimlilik,MEKAN ILISKI,0.6,0.6,,,
A052,atasözü,Ne ekersen onu biçersin,"Sorumluluk yükler, geri bildirim","Sonuç, geçmiş eylemin gecikmiş karşılığıdır.",geri-bildirim,ANLAM,0,0.5,,,
A053,atasözü,Rüzgâr eken fırtına biçer,"Caydırır, geri bildirim","Küçük bozucu eylem, orantısız büyüklükte geri dönüş üretir.",geri-bildirim,ANLAM,-0.6,0.7,,,
A054,atasözü,Ateş olmayan yerden duman çıkmaz,"Nedene işaret eder, geri bildirim","Görünen belirti, görünmeyen bir nedenin zorunlu işaretidir.",geri-bildirim,ZIHIN ILISKI,0,0.5,,,
A055,atasözü,Ucuz etin yahnisi tatsız olur,"Ucuzu uyarır, geri bildirim","Başta kısılan maliyet, sonra nitelik kaybı olarak geri gelir.",geri-bildirim,PARA IS,-0.4,0.7,,,
A056,atasözü,Su testisi su yolunda kırılır,"Kaçınılmazlığı adlandırır, geri bildirim","Risk, istisnai olanda değil en çok tekrarlanan olağan eylemin içindedir.",geri-bildirim,ANLAM IS,0,0.85,,,
A057,atasözü,"Ayağa değmedik taş, başa gelmedik iş olmaz","Kaçınılmazlığı yumuşatır, geri bildirim",Yeterince uzun sürede her olası olay gerçekleşir.,geri-bildirim,ANLAM,0,0.7,,,
A058,atasözü,Her koyun kendi bacağından asılır,"Sınır çizer, sahiplik boslugu",Sorumluluk devredilemez; sonuç eylemi yapana bağlanır.,sahiplik-boslugu,ILISKI ANLAM,-0.5,0.7,,,
A059,atasözü,El elin eşeğini türkü çağırarak arar,"Sahiplik eksikliğini adlandırır, sahiplik boslugu","Sonucu taşımayan, aramaya aynı özeni göstermez.",sahiplik-boslugu,IS ILISKI,-0.5,0.7,,,
A060,atasözü,"Yorgan gitti, kavga bitti","Kök nedene işaret eder, karar tikanmasi",Çatışmanın nesnesi ortadan kalkınca çatışma da biter; sorun taraflarda değildi.,karar-tikanmasi,ILISKI ANLAM,-0.5,0.7,,,
A061,atasözü,"Deveye boynun eğri demişler, nerem doğru ki demiş","Kısmi çözümü reddeder, karar tikanmasi","Tek kusuru düzeltmek, bütünü bozuk olan yapıda anlamsızdır.",karar-tikanmasi,ZIHIN ANLAM,0,0.8,,,
A062,atasözü,"Dam üstünde saksağan, vur beline kazmayı","Alakasızlığı işaretler, karar tikanmasi",Aralarında nedensel bağ olmayan iki şey yan yana konursa anlam üretilmez.,karar-tikanmasi,ZIHIN,0,0.4,,,
A063,atasözü,"Sakla samanı, gelir zamanı","Biriktirmeye çağırır, birikim","Şu an değersiz görünen kaynak, gelecekteki bilinmeyen ihtiyaç için tutulmalı.",birikim,PARA ZIHIN,0.5,0.4,"Azıcık aşım, ağrısız başım",Bunu tutmak sana neye mal oluyor?,
A064,atasözü,Ak akçe kara gün içindir,"Biriktirmeye çağırır, birikim","Bugünkü fazlalık, gelecekteki eksikliğin karşılığıdır.",birikim,PARA,0.4,0.5,,,
A065,atasözü,"İşten artmaz, dişten artar","Tasarrufa yönlendirir, kaynak siniri","Birikim, girdiyi artırarak değil çıktıyı kısarak oluşur.",kaynak-siniri,PARA,-0.6,0.6,,,
A066,atasözü,Fazla mal göz çıkarmaz,"Toplamayı meşrulaştırır, birikim",Fazlalığın kendisi bir maliyet üretmez.,birikim,PARA,0.5,0.3,"Azıcık aşım, ağrısız başım","Sahip olduğun şey seni bekliyor mu, yoksa senden bir şey mi istiyor?",
A067,atasözü,"Azıcık aşım, ağrısız başım","Azla yetinmeyi meşrulaştırır, oran etkisi",Sahip olunan miktar arttıkça onu koruma yükü de artar.,oran-etkisi,PARA ANLAM,-0.7,0.7,"Sakla samanı, gelir zamanı | Fazla mal göz çıkarmaz","Bunu tutmak sana neye mal oluyor? | Sahip olduğun şey seni bekliyor mu, yoksa senden bir şey mi istiyor?",
A068,atasözü,Kanaat tükenmez hazinedir,"Ölçüyü içeri alır, oran etkisi","Yeterlilik duygusu, mutlak miktardan değil beklentinin ayarından gelir.",oran-etkisi,PARA ANLAM,-0.5,0.7,,,
A069,atasözü,"Az veren candan, çok veren maldan","Ölçüyü değiştirir, oran etkisi","Verilenin değeri mutlak miktarda değil, verenin elindekine oranındadır.",oran-etkisi,PARA ILISKI,0,0.7,,,
A070,atasözü,Komşunun tavuğu komşuya kaz görünür,"Kıyaslamayı boşa çıkarır, gorunum farki","Dışarıdan görülen, sahip olunandan sistematik olarak büyük görünür.",gorunum-farki,ILISKI DUYGU,0,0.5,,,
A071,atasözü,"Ayinesi iştir kişinin, lafa bakılmaz","Kanıt ölçütü koyar, gorunum farki",Beyan ile davranış çeliştiğinde ölçüt davranıştır.,gorunum-farki,IS ANLAM,0,0.6,,,
A072,atasözü,Görünen köy kılavuz istemez,"Fazla açıklamayı keser, gorunum farki","Yeterince açık olan durum, ek yorum gerektirmez.",gorunum-farki,ZIHIN,0,0.1,,,
A073,atasözü,"Bir ağaçta gül de biter, diken de","Genellemeyi durdurur, gorunum farki",Aynı kaynak birbirine zıt çıktılar üretebilir; tek örnekle yargı kurulamaz.,gorunum-farki,ILISKI ZIHIN,0,0.5,,,
A074,atasözü,"Tencere yuvarlandı, kapağını buldu","Eşleşmeyi açıklar, gorunum farki",Benzer nitelikler birbirini seçerek eşleşir.,gorunum-farki,ILISKI,0,0.4,,,
A075,atasözü,"Deli deliden hoşlanır, imam ölüden","Çıkarı görünür kılar, gorunum farki","Her rol, kendi işleyişini besleyen karşılığı arar.",gorunum-farki,ILISKI,0,0.5,,,
A076,atasözü,Denize düşen yılana sarılır,"Çaresizliği mazur görür, bilgi asimetrisi","Kayıp eşiği geçilince, normalde reddedilen seçenek kabul edilir olur.",bilgi-asimetrisi,DUYGU BEDEN,0,0.9,,,
A077,atasözü,Dost kara günde belli olur,"Sınav anını işaretler, bilgi asimetrisi","Bağın gerçek gücü, ancak maliyet doğduğunda ölçülebilir.",bilgi-asimetrisi,ILISKI,0,0.8,,,
A078,atasözü,Doğru söyleyeni dokuz köyden kovarlar,"Bedeli önceden söyler, bilgi asimetrisi","Doğru bilgi, grubun konforunu bozduğunda taşıyıcısıyla birlikte dışlanır.",bilgi-asimetrisi,ILISKI ANLAM,-0.4,0.85,,,
A079,atasözü,Bana dokunmayan yılan bin yıl yaşasın,"Kayıtsızlığı adlandırır, bilgi asimetrisi","Maliyeti üstlenmeyen, sorunu sorun olarak görmez.",bilgi-asimetrisi,ILISKI ANLAM,-0.6,0.6,,,
A080,atasözü,Yalancının mumu yatsıya kadar yanar,"Caydırır, bilgi asimetrisi","Gerçeğe dayanmayan yapı, ancak sınanmadığı süre boyunca ayakta kalır.",bilgi-asimetrisi,ILISKI ANLAM,-0.6,0.4,,,
A081,atasözü,Ummadığın taş baş yarar,"Dikkati dağıtılmış yere çeker, kor nokta","Zarar, izlenen kaynaktan değil ihmal edilenden gelir.",kor-nokta,ZIHIN,-0.3,0.75,,,
A082,atasözü,Çok konuşan çok yanılır,"Susmaya çağırır, hiz kalite",Üretilen hacim arttıkça hata sayısı da orantılı artar.,hiz-kalite,ILISKI ZIHIN,-0.7,0.4,,,
A083,atasözü,Zorla güzellik olmaz,"Zorlamayı durdurur, bagimlilik","Gönüllülük gerektiren sonuç, baskıyla üretilemez.",bagimlilik,ILISKI,-0.7,0.6,,,
A084,atasözü,Tatlı dil yılanı deliğinden çıkarır,"Yöntemi değiştirir, birlesim","Direnç, kuvvetle değil yaklaşım biçimi değiştirilerek çözülür.",birlesim,ILISKI,0.7,0.5,,,
A085,atasözü,Gülü seven dikenine katlanır,"Katlanmayı meşrulaştırır, oran etkisi",Değer verilen şeyin maliyeti ondan ayrılamaz.,oran-etkisi,DUYGU ILISKI,0.5,0.6,,,
A086,atasözü,İşleyen demir ışıldar,"Harekete çağırır, birikim","Sürekli kullanım, aşınma değil iyileşme üretir.",birikim,IS BEDEN,0.8,0.3,,,
A087,atasözü,"Nerede hareket, orada bereket","Harekete çağırır, birikim","Çıktı, hareketin bir yan ürünü olarak doğar.",birikim,IS,0.8,0.3,,,
A088,atasözü,Yatan aslandan gezen tilki yeğdir,"Harekete çağırır, birikim","Kullanılmayan üstün kapasite, kullanılan sıradan kapasiteden az üretir.",birikim,IS,0.7,0.5,,,
A089,atasözü,Emek olmadan yemek olmaz,"Bedeli hatırlatır, geri bildirim","Çıktı, girdi olmadan oluşmaz.",geri-bildirim,IS,0.7,0.4,,,
A090,atasözü,Bir taşla iki kuş vurulur,"Verimliliğe çağırır, birlesim",Tek eylem birden çok sonucu aynı anda karşılayabilir.,birlesim,IS,0.6,0.3,İki karpuz bir koltuğa sığmaz,"Bu ikisi aynı hamleyle mi oluyor, yoksa sırayla mı?",
A091,atasözü,Bal tutan parmağını yalar,"Doğal sonucu adlandırır, geri bildirim","Kaynağa temas eden, payını kaçınılmaz olarak alır.",geri-bildirim,IS PARA,0,0.6,,,
A092,atasözü,"Su akar, yolunu bulur","Bırakmayı meşrulaştırır, bagimlilik","Yönlendirilmeyen süreç, kendi düşük dirençli yolunu kendisi seçer.",bagimlilik,ANLAM MEKAN,0.4,0.6,,,
A093,atasözü,Aza kanaat etmeyen çoğu bulamaz,"Küçüğü kabule çağırır, oran etkisi","Küçük kazancı reddetme alışkanlığı, büyük kazanca giden yolu da kapatır.",oran-etkisi,PARA ZIHIN,-0.6,0.6,,,
A094,atasözü,Bir fincan kahvenin kırk yıl hatırı var,"Bağı hatırlatır, oran etkisi","Küçük bir iyiliğin bağ değeri, maddi değerinden bağımsız ve kalıcıdır.",oran-etkisi,ILISKI ANLAM,0.5,0.5,,,
A095,atasözü,Borç yiğidin kamçısıdır,"Baskıyı meşrulaştırır, geri bildirim","Dışarıdan gelen zorunluluk, içeriden gelmeyen hareketi üretebilir.",geri-bildirim,PARA DUYGU,0.3,0.7,Ayağını yorganına göre uzat,Bu yükü kaldıramazsan ne olur?,
A096,atasözü,"Ayağını sıcak tut, başını serin","Ayrımı hatırlatır, kaynak siniri",Farklı katmanlar zıt yönde ayarlanmalıdır; tek ayar bütüne uymaz.,kaynak-siniri,BEDEN ZIHIN,0,0.5,,,
A097,atasözü,Adamın iyisi işbaşında belli olur,"Ölçüm anını belirler, gorunum farki","Nitelik, beyan anında değil uygulama anında ölçülür.",gorunum-farki,IS ANLAM,0,0.6,,,
A098,atasözü,Sürçen at bir daha sürçmez,"Hatayı meşrulaştırır, geri bildirim","Hata, tekrar edilmediğinde öğrenmenin kendisine dönüşür.",geri-bildirim,ZIHIN IS,0.4,0.7,Sütten ağzı yanan yoğurdu üfleyerek yer,"Neyin yanlış gittiğini adlandırabiliyor musun, yoksa sadece kötü hissettiğini mi biliyorsun?",
A099,atasözü,Öksüz çocuk göbeğini kendi keser,"Yalnızlığı güce çevirir, bagimlilik","Destek yoksa yeti, zorunluluk altında kendiliğinden gelişir.",bagimlilik,DUYGU BEDEN,0.5,0.9,,,
A100,atasözü,Minareyi çalan kılıfını hazırlar,"Hazırlığın ölçeğini işaretler, zamanlama","Eylemin büyüklüğü, örtüsünün büyüklüğünü önceden belirler.",zamanlama,ZIHIN IS,0,0.6,,,
T001,trend kelime,Ghosting,"Belirsizlik, kapanmamış son, açıklanmamış çekilme",açıklama yapmadan iletişimi kesme,bilgi-asimetrisi,,,,,,
T002,trend kelime,Quiet quitting,"Sınır koyma, görünmez direnç, asgariye çekilme",iş tanımının dışına çıkmama kararı,kaynak-siniri,,,,,,
T003,trend kelime,FOMO,"Kaçırılanı görebilme, sürekli kıyas, doyumsuzluk",kaçırma korkusu,zamanlama,,,,,,
T004,trend kelime,FOBO,"Seçenek fazlalığı, karar felci, taahhütten kaçınma",seçenekleri açık tutma,karar-tikanmasi,,,,,,
T005,trend kelime,Gaslighting,"Gerçeğin tartışılması, güven kaybı, kendinden şüphe",kişinin kendi algısından şüphe ettirilmesi,bilgi-asimetrisi,,,,,,
T006,trend kelime,Love bombing,"Orantısız yakınlık, hızlı bağ, sonradan çekilme",başta aşırı ilgiyle bağ kurma,asiri-tepki,,,,,,
T007,trend kelime,Burnout,"Kapasite bitişi, sürdürememe, bedenin durması",tükenmişlik,kaynak-siniri,,,,,,
T008,trend kelime,Imposter sendromu,"Yeterlilik şüphesi, görünürlük yükü, açığın açılma korkusu",hak etmediğini hissetme,gorunum-farki,,,,,,
T009,trend kelime,Sunk cost,"Vazgeçememe, harcanana bağlanma, kaybı kabullenememe",batmış maliyete devam etme,geri-donulmezlik,,,,,,
T010,trend kelime,Decision fatigue,"Seçim bolluğu, tükenme, umursamazlığa kayma",karar yorgunluğu,karar-tikanmasi,,,,,,
T011,trend kelime,Doom scrolling,"Aşırı maruziyet, bırakamama, kaygının beslenmesi",kötü habere takılıp kalma,asiri-tepki,,,,,,
T012,trend kelime,Analysis paralysis,"Hazırlık takıntısı, başlayamama, bilgi biriktirme",fazla düşünmekten hareket edememe,karar-tikanmasi,,,,,,
T013,trend kelime,Boundaries,"Kişisel alan, hayır diyebilme, ilişkide eşitlik",sınır koyma,kaynak-siniri,,,,,,
T014,trend kelime,Bystander etkisi,"Sorumluluk dağılması, herkesin beklemesi",kalabalıkta kimsenin müdahale etmemesi,sahiplik-boslugu,,,,,,
T015,trend kelime,Survivorship bias,"Eksik örneklem, görünmeyen başarısızlık, yanlı ders",yalnızca kurtulanları görmek,kor-nokta,,,,,,
T016,trend kelime,Parkinson yasası,"Süre esnemesi, gereksiz genişleme",işin verilen süreyi doldurması,hiz-kalite,,,,,,
T017,trend kelime,Cancel culture,"Hızlı yargı, kalabalık kararı, geri dönüşsüzlük",toplu dışlama,yayilma,,,,,,
T018,trend kelime,Kırık cam,"İlk ihmal, normalleşme, hızlı bozulma",küçük bozulmanın yayılması,yayilma,,,,,,
M001,yunan mitosu,İkarus,"Sınır tanımama, uyarıyı dinlememe, yükselirken düşme",güneşe fazla yaklaşıp kanatları eriyen,asiri-tepki,,,,,,
M002,yunan mitosu,Sisifos,"Sonu olmayan tekrar, anlamsız süreklilik, bitmeyen yük",kayayı her gün yeniden yukarı taşıyan,birikim,,,,,,
M003,yunan mitosu,Tantalos,"Erişilemeyen yakınlık, sürekli kıl payı kaçırma",suya uzandıkça suyun çekildiği,oran-etkisi,,,,,,
M004,yunan mitosu,Kassandra,"Bilen ama dinlenmeyen, bilginin işe yaramaması",doğruyu söylediği halde inanılmayan,bilgi-asimetrisi,,,,,,
M005,yunan mitosu,Prokrustes,"Zorla uydurma, tek kalıba sokma, farkı yok etme",yatağa uymayanı kesip uzatan,gorunum-farki,,,,,,
M006,yunan mitosu,Narkissos,"Kendine dönük bakış, dışarıyı görememe",kendi yansımasına bakarken kaybolan,kor-nokta,,,,,,
M007,yunan mitosu,Pandora,"Geri alınamayan hamle, merakın bedeli",kutuyu açınca geri kapatamayan,geri-donulmezlik,,,,,,
M008,yunan mitosu,Truva atı,"Görünenin altındaki, kabul edilen risk",hediye görünen tehdit,gorunum-farki,,,,,,
